OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1,2016,NonResidential,Hotel,Mayflower park hotel,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,60.0,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83
2,2016,NonResidential,Hotel,Paramount Hotel,DOWNTOWN,1996,1.0,11,103566,15064,88502,Hotel,61.0,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86
3,2016,NonResidential,Hotel,5673-The Westin Seattle,DOWNTOWN,1969,1.0,41,956110,196718,759392,Hotel,43.0,73937112.0,21566554.0,49526664.0,1493800.0,2089.28,2.19
5,2016,NonResidential,Hotel,HOTEL MAX,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,56.0,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),DOWNTOWN,1980,1.0,18,175580,62000,113580,Hotel,75.0,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88
9,2016,NonResidential,Other,West Precinct,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1
10,2016,NonResidential,Hotel,Camlin,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,27.0,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12
11,2016,NonResidential,Other,Paramount Theatre,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16
12,2016,NonResidential,Hotel,311wh-Pioneer Square,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,43.0,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,30.0,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51
16,2016,NonResidential,Hotel,5679-W Seattle,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,36.0,27070114.0,5999360.5,18083049.0,2858700.0,740.97,2.22
17,2016,NonResidential,Hotel,Executive Pacific Plaza,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,48.0,6358719.5,1656352.5,1343000.0,3596705.0,328.23,5.05
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,DOWNTOWN,1980,1.0,33,315952,57600,258352,Hotel,58.0,22524948.0,4337738.5,13904183.0,4083440.0,648.62,2.05
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,DOWNTOWN,1922,1.0,11,92190,25200,66990,Hotel,35.0,11179203.0,4870847.5,3832369.0,2046793.0,511.39,5.55
21,2016,NonResidential,Other,The Seattle Public Library - Central Library,DOWNTOWN,2004,1.0,11,412000,57000,355000,Library,,18706912.0,737559.5,17851297.0,0.0,181.38,0.44
22,2016,NonResidential,Other,Downtown Seattle YMCA,DOWNTOWN,1930,1.0,6,103911,0,103911,Fitness Center/Health Club/Gym,,10192124.0,4592347.5,4453868.0,910180.0,433.86,4.18
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,DOWNTOWN,1983,1.0,28,416281,85000,331281,Hotel,31.0,34351920.0,0.0,21225277.0,12331475.0,802.89,1.93
24,2016,NonResidential,Mixed Use Property,The Rainier Club,DOWNTOWN,1907,1.0,5,57452,0,57452,Social/Meeting Hall,,7877219.0,1776201.875,3764791.0,2065091.0,273.02,4.75
25,2016,NonResidential,Hotel,Arctic Club Seattle,DOWNTOWN,1916,1.0,10,104352,0,104352,Hotel,39.0,10154608.0,3430862.0,5908370.0,815376.0,349.32,3.35
26,2016,NonResidential,Other,King County Courthouse,DOWNTOWN,1916,1.0,10,540360,0,540360,Courthouse,76.0,47023088.0,0.0,24357833.0,20626631.0,1265.29,2.34
27,2016,NonResidential,Other,King County Correctional Facility,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,,49539212.0,0.0,18257661.0,29602150.0,1699.45,4.41
