OSEBuildingID,DataYear,BuildingType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
20500,2016,NonResidential,Central Park,GREATER DUWAMISH,1985,1.0,1,37500,0,37500,Non-Refrigerated Warehouse,36.0,1908057.875,0.0,1799898.0,11608.0,13.16
847,2016,NonResidential,Pioneer Industries,DELRIDGE,1970,1.0,1,70400,0,70400,Non-Refrigerated Warehouse,1.0,14128860.0,0.0,9916987.0,4045761.0,284.01
25276,2016,NonResidential,Pedersens Rentals,GREATER DUWAMISH,1962,1.0,1,31569,0,31569,Non-Refrigerated Warehouse,12.0,3344952.0,0.0,804992.0,2259047.0,125.59
21495,2016,NonResidential,Alaska Trade Building,DOWNTOWN,1910,1.0,4,36160,0,36160,Office,47.0,1921962.0,0.0,1862177.0,0.0,12.98
21180,2016,NonResidential,"Seventeen Meters, LLC",LAKE UNION,1996,0.0,3,53103,0,53103,Other,,4879644.0,0.0,4788878.0,89080.0,38.12
27532,2016,NonResidential,Color Craft Building,MAGNOLIA / QUEEN ANNE,1948,1.0,2,30720,0,30720,Other,,1915150.75,0.0,482047.0,1201017.0,67.15
23867,2016,NonResidential,Airport Way,GREATER DUWAMISH,1914,1.0,3,34425,0,34425,Office,84.0,2143122.25,0.0,1238171.0,780215.0,50.07
474,2016,NonResidential,08185-Lake Union,LAKE UNION,1914,1.0,5,127800,0,127800,Non-Refrigerated Warehouse,56.0,2811924.5,0.0,2545590.0,221900.0,29.53
19774,2016,NonResidential,Office Depot,NORTHWEST,1968,1.0,1,48139,0,48139,Retail Store,98.0,959683.125,0.0,468402.0,390834.0,24.02
24244,2016,NonResidential,West Side Presbyterian Church,SOUTHWEST,1948,1.0,2,35864,0,35864,Worship Facility,75.0,1404208.25,0.0,467833.0,760281.0,43.64
49958,2016,NonResidential,First Hill Street Car Maintenance Shop,GREATER DUWAMISH,2014,1.0,1,20993,0,20993,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,961628.625,0.0,795829.0,98912.0,10.8
19776,2016,NonResidential,Welcome Home Society - PriceCo,NORTHWEST,2002,1.0,1,29924,0,29924,Other - Education,,0.0,0.0,0.0,0.0,0.0
28053,2016,NonResidential,(ID28053)CONGREGATION BETH SHALOM,NORTHEAST,1955,1.0,1,29079,0,29079,Worship Facility,78.0,930746.875,0.0,511118.0,350526.0,22.18
528,2016,NonResidential,Oregon Tile & Marble,GREATER DUWAMISH,1966,1.0,1,50200,0,50200,Retail Store,,1193084.5,0.0,507461.0,540000.0,32.22
20618,2016,NonResidential,"Compton Lumber Co., Inc",GREATER DUWAMISH,1961,1.0,1,38005,0,38005,Non-Refrigerated Warehouse,,800420.6875,0.0,632708.0,119386.0,10.75
50037,2016,NonResidential,"MAPS 325 Ninth Avenue North, LLC",LAKE UNION,2014,1.0,12,480702,163260,317442,Office,99.0,12926544.0,0.0,11452968.0,1267099.0,147.14
830,2016,NonResidential,childhaven,EAST,2004,1.0,4,77412,21612,55800,Other,,2740574.75,0.0,2604783.0,50604.0,20.85
174,2016,NonResidential,CSC Vehicle Maintenance (E),GREATER DUWAMISH,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,8086930.5,0.0,4182001.0,3293576.0,204.08
356,2016,NonResidential,The Central Building,DOWNTOWN,1907,1.0,8,201480,0,201480,Office,91.0,9510490.0,1619966.875,7301810.0,0.0,175.95
21795,2016,NonResidential,Ignatius Hall,EAST,1999,1.0,2,85750,65640,20110,Parking,,2278550.5,0.0,669413.0,1376179.0,77.76
807,2016,NonResidential,645 Elliott - North Building,MAGNOLIA / QUEEN ANNE,2008,1.0,4,242686,100176,142510,Office,77.0,9683979.0,0.0,9683978.0,0.0,67.51
21534,2016,NonResidential,Little Wing,LAKE UNION,2013,1.0,3,51552,0,51552,Office,,1539066.375,0.0,1539066.0,0.0,10.73
119,2016,NonResidential,St. Joseph K-8 School,EAST,1923,1.0,3,67743,0,67743,K-12 School,34.0,3036464.0,0.0,1337786.0,1309093.0,78.85
21233,2016,NonResidential,Fitness International North Seattle,NORTHWEST,2007,1.0,2,45000,0,45000,Other - Recreation,,6104259.5,0.0,2973668.0,2938397.0,176.79
247,2016,NonResidential,SCL SSC Building A,GREATER DUWAMISH,1924,1.0,2,179161,0,179161,Distribution Center,,10168523.0,0.0,8772104.0,664302.0,96.43
23164,2016,NonResidential,The Weller Building,DOWNTOWN,2001,1.0,5,70332,22095,48237,Office,89.0,2000777.25,0.0,1866104.0,115011.0,19.12
21141,2016,NonResidential,FREMONT FOUNDRY,LAKE UNION,1981,1.0,2,22388,0,22388,Office,,605182.6875,0.0,458439.0,117966.0,9.46
43948,2016,NonResidential,Georgetown Steamplant,GREATER DUWAMISH,1906,1.0,2,39212,0,39212,Other,,72370.39844,0.0,72371.0,0.0,0.5
701,2016,NonResidential,Elliot Industrial,MAGNOLIA / QUEEN ANNE,1978,1.0,1,50660,0,50660,Retail Store,51.0,2956254.5,0.0,1747974.0,913514.0,60.7
21549,2016,NonResidential,410 W. Harrison,MAGNOLIA / QUEEN ANNE,1962,1.0,2,34416,0,34416,Laboratory,,12512916.0,0.0,4675400.0,7340535.0,422.45
200,2016,NonResidential,Verity Credit Union,NORTHWEST,1996,1.0,3,55442,0,55442,Financial Office,72.0,3313397.0,0.0,1859345.0,1331883.0,83.7
24991,2016,NonResidential,DUWAMISH,GREATER DUWAMISH,1962,1.0,3,36140,0,36140,Other,,4653535.0,0.0,4653534.0,0.0,32.44
21141,2016,NonResidential,FREMONT FOUNDRY,LAKE UNION,1981,1.0,2,22388,0,22388,Office,,605182.6875,0.0,458439.0,117966.0,9.46
21336,2016,NonResidential,University Club,EAST,1912,0.0,3,20411,0,20411,Social/Meeting Hall,,2145049.5,0.0,774943.0,1239533.0,71.23
20273,2016,NonResidential,Brooklyn Plaza,NORTHEAST,1993,1.0,3,28572,0,28572,Residence Hall/Dormitory,16.0,2759011.75,0.0,1187175.0,1530688.0,89.57
24717,2016,NonResidential,1701 First Ave South LLC,GREATER DUWAMISH,1910,1.0,3,27690,0,27690,Other,,17260.0,0.0,16809.0,0.0,0.12
22312,2016,NonResidential,The Seattle Public Library - Ballard Branch,BALLARD,2004,1.0,1,30576,15576,15000,Library,,1642173.75,0.0,930038.0,603208.0,38.52
654,2016,NonResidential,AIRPORT WAY SOUTH,GREATER DUWAMISH,1973,1.0,1,56572,0,56572,Retail Store,66.0,2540840.5,0.0,1315085.0,1094344.0,67.29
26593,2016,NonResidential,Delmar Building,DOWNTOWN,1900,1.0,4,22840,0,22840,Office,64.0,983053.375,0.0,881386.0,0.0,6.14
26157,2016,NonResidential,Caroline Kline Galland Home,SOUTHEAST,1967,1.0,1,141297,0,141297,Senior Care Community,76.0,20378838.0,0.0,6797882.0,12625460.0,717.93
20556,2016,NonResidential,3300,GREATER DUWAMISH,1955,1.0,2,32400,0,32400,Non-Refrigerated Warehouse,91.0,248616.0,0.0,248616.0,0.0,1.73
20067,2016,NonResidential,FareStart,DOWNTOWN,1923,1.0,3,33600,0,33600,Restaurant,,4712960.5,0.0,2941315.0,1534335.0,101.99
817,2016,NonResidential,Russell Hall,NORTHEAST,2009,1.0,6,122400,54300,68100,Office,63.0,5034998.5,0.0,3880094.0,985457.0,79.39
815,2016,NonResidential,Fifth and Yesler,DOWNTOWN,2009,1.0,17,413264,138098,275166,Office,91.0,13631141.0,0.0,13631140.0,0.0,95.03
20768,2016,NonResidential,Dekeriver LLC,GREATER DUWAMISH,1956,1.0,1,27000,0,27000,Distribution Center,61.0,735187.125,0.0,341140.0,310153.0,18.85
435,2016,NonResidential,Washington State Convention Center,DOWNTOWN,1990,1.0,6,1400000,0,1400000,Convention Center,,0.0,0.0,0.0,0.0,0.0
331,2016,NonResidential,The Tower Building,DOWNTOWN,1930,1.0,17,204790,30000,174790,Office,91.0,8081443.0,0.0,6736076.0,1003622.0,100.26
20425,2016,NonResidential,Hope Lutheran Church & School,SOUTHWEST,1923,1.0,2,37816,0,37816,Worship Facility,60.0,1565229.75,0.0,682782.0,728523.0,43.45
772,2016,NonResidential,800 Fifth Avenue,DOWNTOWN,1981,1.0,42,1249055,201121,1047934,Office,95.0,39518364.0,0.0,37980705.0,0.0,264.78
49850,2016,NonResidential,Paul G Allen Athletic Center,NORTHWEST,2014,1.0,2,48925,0,48925,K-12 School,82.0,1695022.25,0.0,1384383.0,246907.0,22.76
21898,2016,NonResidential,Halfon Candy Company,GREATER DUWAMISH,1978,1.0,1,31300,0,31300,Non-Refrigerated Warehouse,89.0,398438.5938,0.0,220913.0,141961.0,9.08
25115,2016,NonResidential,Bethel Presbyterian Church,NORTHWEST,1951,1.0,2,21936,0,21936,Worship Facility,96.0,686216.5,0.0,77010.0,531746.0,28.78
40,2016,NonResidential,Silver Cloud University,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,29.0,6731281.5,0.0,3016399.0,3652169.0,215.0
21366,2016,NonResidential,Town Hall Seattle,EAST,1916,1.0,3,38038,0,38038,Other - Entertainment/Public Assembly,,1255324.0,682047.625,425243.0,0.0,55.61
282,2016,NonResidential,Hotel Deca,NORTHEAST,1931,1.0,16,106860,0,106860,Hotel,49.0,12616417.0,0.0,3561742.0,8373976.0,469.57
